xhs note: {'note_id': '62ced86500000000010244f4', 'type': 'video', 'title': '，和星星的孩子一起撸狗吧！', 'desc': '，和星星的孩子一起撸狗吧！', 'time': 1657722981000, 'last_update_time': 1657722981000, 'user_id': '5fb12fdd0000000001002657', 'nickname': '四川观察', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6442313a6e9f220001c71d4c.jpg', 'liked_count': '307476', 'collected_count': '25047', 'comment_count': '4138', 'share_count': '2405', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/fc8b083e-9b56-775d-cc7f-9f5aa311de9b', 'last_modify_ts': 1692361320171}
xhs note: {'note_id': '60fcc8f40000000001025ebc', 'type': 'video', 'title': '看你认真的样子，妈妈觉得你就是最靓的仔', 'desc': '直播前，儿子真的是有很努力的在排练，他自己写的台词，还在网上搜索了音乐解析，然后让我帮忙修改。有多少人看直播不重要，你努力做好、认真的样子，妈妈觉得你就是这条街最靓的仔[飞吻R]。', 'time': 1627179252000, 'last_update_time': 1627184338000, 'user_id': '5baf2f9328cffd00017e0824', 'nickname': '阳光舒海峰的钢琴世界', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6469c6afbda1bf5c671e6db6.jpg', 'liked_count': '80066', 'collected_count': '2695', 'comment_count': '6082', 'share_count': '656', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/861a87bb-9aea-0179-3078-442d885f28f0', 'last_modify_ts': 1692361320173}
xhs note: {'note_id': '64007ad60000000013036f9c', 'type': 'video', 'title': '关爱星星的孩子，让我们走进他们的世界。\xa0\xa0\xa0\xa0\xa0', 'desc': '关爱星星的孩子，让我们走进他们的世界。\xa0\xa0\xa0\xa0\xa0', 'time': 1677758451000, 'last_update_time': 1677753047000, 'user_id': '5c1da26a000000000500ff48', 'nickname': '闪送', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/611616a0fb05585d2f93618f.jpg', 'liked_count': '77690', 'collected_count': '6161', 'comment_count': '235', 'share_count': '59', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/271fc6e9-0cc1-10d4-486c-4154bee56727', 'last_modify_ts': 1692361320174}
xhs note: {'note_id': '5fffad430000000001001a53', 'type': 'video', 'title': '你了解孤独症吗？换了新号，重新发一次这条视频，希望对轩轩和我们家庭有个初步了解', 'desc': '你了解孤独症吗？换了新号，重新发一次这条视频，希望对轩轩和我们家庭有个初步了解', 'time': 1610591555000, 'last_update_time': 1610591556000, 'user_id': '5be48b6748ff960001162b14', 'nickname': '自闭症轩轩', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5ff7fd4a1eb5173a48fc6af8.jpg', 'liked_count': '69866', 'collected_count': '2406', 'comment_count': '2827', 'share_count': '3878', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/7651246e-b9a0-3ab6-6dfd-5f18a6ea1c68', 'last_modify_ts': 1692361320174}
xhs note: {'note_id': '6307770e0000000019029258', 'type': 'video', 'title': '乐乐今天被爸爸批评了', 'desc': '乐乐在商场吹气球 被爸爸批评了回家之后意难平 于是就有了下面这条视频\xa0\xa0\xa0\xa0\xa0', 'time': 1661433614000, 'last_update_time': 1661433615000, 'user_id': '60712fd70000000001004e47', 'nickname': '博乐-乐爸', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/62e72227a31e6e6f8f2dc4b4.jpg', 'liked_count': '54056', 'collected_count': '2005', 'comment_count': '900', 'share_count': '591', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/e94679ad-fd9e-ce99-209b-c4bb28bdb7f4', 'last_modify_ts': 1692361320174}
xhs note: {'note_id': '6117782f000000002103c08c', 'type': 'video', 'title': '走近一点，你就会发现另一个精彩的世界', 'desc': '', 'time': 1628928047000, 'last_update_time': 1628928047000, 'user_id': '5d652e9a000000000100590c', 'nickname': '江寻千', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5fa157a7da07540001de4bda.jpg', 'liked_count': '48406', 'collected_count': '5819', 'comment_count': '382', 'share_count': '92', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/6ca4aff6-31e8-10a1-f5bd-c5f874625257', 'last_modify_ts': 1692361320174}
xhs note: {'note_id': '615011920000000001002516', 'type': 'video', 'title': '每一个自闭症患者，都是天才', 'desc': '《证人》：八旬老人遭保姆谋杀，自闭症少女成唯一目击证人', 'time': 1632637330000, 'last_update_time': 1632637331000, 'user_id': '5debc4300000000001001e3e', 'nickname': '布衣探案', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/60c0c2bfbaef0f7be4936789.jpg', 'liked_count': '40262', 'collected_count': '7152', 'comment_count': '141', 'share_count': '138', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/spectrum/0f80e380341e80a3271675ac52457e26c5afd615', 'last_modify_ts': 1692361320175}
xhs note: {'note_id': '6492b3060000000012030c2c', 'type': 'video', 'title': '📍自闭症女儿的8年蜕变', 'desc': '2分钟的视频道不完一路的心酸\n自闭症选对路也可以有光明大道\n希望各位父母能够发现孩子的闪光点\n放下不该有的执念\n给予孩子们力量\n共同走出困境走向光明\n       ', 'time': 1687335686000, 'last_update_time': 1687335686000, 'user_id': '574801335e87e73946e1000e', 'nickname': '萱妈与萱宝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6116eb8e1f64dea543ba6c69.jpg', 'liked_count': '31247', 'collected_count': '1663', 'comment_count': '876', 'share_count': '269', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/42294d12-171f-1f08-82ea-f6a41bde6002', 'last_modify_ts': 1692361320175}
xhs note: {'note_id': '63c27298000000001f02212f', 'type': 'video', 'title': '自闭症琦琦，自己动手，做了个玩具，不离手了', 'desc': '自闭症的世界真简单，去逛街捡了点亮片，用塑料瓶装点水就不离手一直玩了。    ', 'time': 1673687704000, 'last_update_time': 1673687705000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '24455', 'collected_count': '5156', 'comment_count': '827', 'share_count': '26', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/dd23f2b8-7c4d-83d0-cd41-7e58338275b4', 'last_modify_ts': 1692361320175}
xhs note: {'note_id': '62d797c900000000120041f1', 'type': 'video', 'title': '当孤独症孩子遇到哈士奇', 'desc': '后续发酵，各个平台媒体进行转发报道，落入凡间的天使[仙女R]\n@哈士奇的朋友宠物主题餐厅 @哈哈哈士奇深圳 @哈哈哈士奇哈哥\n视频出处由《深圳爱特乐乐队》\n视频拍摄场地及视频内出现的狗狗由深圳市南山区欢乐海岸@哈士奇的朋友宠物主题餐厅 ，@哈哈哈士奇深圳\n   ', 'time': 1658296265000, 'last_update_time': 1662481979000, 'user_id': '5e5a19f100000000010016f1', 'nickname': '哈哈哈士奇', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6293798a96e41ea1a8956214.jpg', 'liked_count': '23486', 'collected_count': '2709', 'comment_count': '521', 'share_count': '240', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/8e21a490-668e-fe6d-95a1-fd5fddf12631', 'last_modify_ts': 1692361320175}
xhs note: {'note_id': '63af9c0b000000001c0043f1', 'type': 'video', 'title': '自闭症琦琦，学不会哭了，最终勇敢战胜了自己', 'desc': '以前我教过三年级语文，后来自己开公司教过一些员工工作和做事，这个琦琦断断续续的学了大概有不到十遍吧，自闭症不喜欢重复的背诵，我都是隔一会又加强记忆一次。\n哭了两三回，但最后还是坚持背诵，大家看看背的怎么样吧[偷笑R]    ', 'time': 1672453131000, 'last_update_time': 1672453131000, 'user_id': '5c72395400000000120393c3', 'nickname': '🌈琦琦宝贝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mv1cta34u005n3i75a4n4u33e3j4rg', 'liked_count': '23094', 'collected_count': '7582', 'comment_count': '1847', 'share_count': '55', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/b7ea7410-2fd6-fc88-ad2c-a0ce11876e50', 'last_modify_ts': 1692361320176}
