xhs note: {'note_id': '62ced86500000000010244f4', 'type': 'video', 'title': '', 'desc': '，和星星的孩子一起撸狗吧！', 'time': 1657722981000, 'last_update_time': 1657722981000, 'user_id': '5fb12fdd0000000001002657', 'nickname': '四川观察', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6442313a6e9f220001c71d4c.jpg', 'ip_location': '', 'image_list': 'https://sns-img-qc.xhscdn.com/fc8b083e-9b56-775d-cc7f-9f5aa311de9b', 'last_modify_ts': 1688479602557}
xhs note: {'note_id': '646b54fd000000001300d064', 'type': 'video', 'title': '自闭症女孩乱入生日派对', 'desc': '自闭症女孩乱入生日派对\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', 'time': 1684755709000, 'last_update_time': 1685926578000, 'user_id': '6384dba4000000001f019dcc', 'nickname': '安安大忙人', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/63e73ed0f844590eeb2bc6d2.jpg', 'ip_location': '重庆', 'image_list': 'https://sns-img-bd.xhscdn.com/6f14ce2b-a6da-37dd-98a1-9f5fe420fb6c', 'last_modify_ts': 1688479603360}
xhs note: {'note_id': '60fcc8f40000000001025ebc', 'type': 'video', 'title': '看你认真的样子，妈妈觉得你就是最靓的仔', 'desc': '直播前，儿子真的是有很努力的在排练，他自己写的台词，还在网上搜索了音乐解析，然后让我帮忙修改。有多少人看直播不重要，你努力做好、认真的样子，妈妈觉得你就是这条街最靓的仔[飞吻R]。', 'time': 1627179252000, 'last_update_time': 1627184338000, 'user_id': '5baf2f9328cffd00017e0824', 'nickname': '阳光舒海峰的钢琴世界', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6469c6afbda1bf5c671e6db6.jpg', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/861a87bb-9aea-0179-3078-442d885f28f0', 'last_modify_ts': 1688479604004}
xhs note: {'note_id': '64007ad60000000013036f9c', 'type': 'video', 'title': '', 'desc': '关爱星星的孩子，让我们走进他们的世界。\xa0\xa0\xa0\xa0\xa0', 'time': 1677758451000, 'last_update_time': 1677753047000, 'user_id': '5c1da26a000000000500ff48', 'nickname': '闪送', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/611616a0fb05585d2f93618f.jpg', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/271fc6e9-0cc1-10d4-486c-4154bee56727', 'last_modify_ts': 1688479604801}
xhs note: {'note_id': '5fffad430000000001001a53', 'type': 'video', 'title': '', 'desc': '你了解孤独症吗？换了新号，重新发一次这条视频，希望对轩轩和我们家庭有个初步了解', 'time': 1610591555000, 'last_update_time': 1610591556000, 'user_id': '5be48b6748ff960001162b14', 'nickname': '自闭症轩轩', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5ff7fd4a1eb5173a48fc6af8.jpg', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/7651246e-b9a0-3ab6-6dfd-5f18a6ea1c68', 'last_modify_ts': 1688479605459}
xhs note: {'note_id': '6136f2210000000001027658', 'type': 'video', 'title': '', 'desc': '对比去年，轩轩真的有了很大进步，这次我全程没有说一句话，轩轩完成的很流畅自然', 'time': 1630990881000, 'last_update_time': 1630990882000, 'user_id': '5be48b6748ff960001162b14', 'nickname': '自闭症轩轩', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5ff7fd4a1eb5173a48fc6af8.jpg', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/261a916a-4999-023d-5456-8cab58c6e4d1', 'last_modify_ts': 1688479606102}
xhs note: {'note_id': '6117782f000000002103c08c', 'type': 'video', 'title': '走近一点，你就会发现另一个精彩的世界', 'desc': '', 'time': 1628928047000, 'last_update_time': 1628928047000, 'user_id': '5d652e9a000000000100590c', 'nickname': '江寻千', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/5fa157a7da07540001de4bda.jpg', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/6ca4aff6-31e8-10a1-f5bd-c5f874625257', 'last_modify_ts': 1688479606901}
xhs note: {'note_id': '6492b3060000000012030c2c', 'type': 'video', 'title': '📍自闭症女儿的8年蜕变', 'desc': '2分钟的视频道不完一路的心酸\n自闭症选对路也可以有光明大道\n希望各位父母能够发现孩子的闪光点\n放下不该有的执念\n给予孩子们力量\n共同走出困境走向光明\n       ', 'time': 1687335686000, 'last_update_time': 1687335686000, 'user_id': '574801335e87e73946e1000e', 'nickname': '萱妈与萱宝', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6116eb8e1f64dea543ba6c69.jpg', 'ip_location': '安徽', 'image_list': 'https://sns-img-bd.xhscdn.com/42294d12-171f-1f08-82ea-f6a41bde6002', 'last_modify_ts': 1688479607552}
xhs note: {'note_id': '62d797c900000000120041f1', 'type': 'video', 'title': '当孤独症孩子遇到哈士奇', 'desc': '后续发酵，各个平台媒体进行转发报道，落入凡间的天使[仙女R]\n@哈士奇的朋友宠物主题餐厅 @哈哈哈士奇深圳 @哈哈哈士奇哈哥\n视频出处由《深圳爱特乐乐队》\n视频拍摄场地及视频内出现的狗狗由深圳市南山区欢乐海岸@哈士奇的朋友宠物主题餐厅 ，@哈哈哈士奇深圳\n   ', 'time': 1658296265000, 'last_update_time': 1662481979000, 'user_id': '5e5a19f100000000010016f1', 'nickname': '哈哈哈士奇', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/6293798a96e41ea1a8956214.jpg', 'ip_location': '', 'image_list': 'https://sns-img-bd.xhscdn.com/8e21a490-668e-fe6d-95a1-fd5fddf12631', 'last_modify_ts': 1688479608171}
xhs note: {'note_id': '61df9e280000000001026bdd', 'type': 'video', 'title': '每个自闭的孩子，都是折翼的天使', 'desc': '每个得了自闭症的孩子，都是折翼的天使，他们也拥有着世界上最勇敢的妈妈。  ', 'time': 1642044968000, 'last_update_time': 1642044969000, 'user_id': '565796cae00dd812f61b41a1', 'nickname': '高大福', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/610c04d9a3387f06b6984ace.jpg', 'ip_location': '', 'image_list': 'https://sns-img-hw.xhscdn.com/655c7a37-8f41-3c24-9ed5-17550cbc95a5', 'last_modify_ts': 1688479608780}
xhs note: {'note_id': '6324633e0000000008008d4a', 'type': 'video', 'title': '还记得童年被老师支配的恐惧吗', 'desc': '\xa0\xa0\xa0\xa0\xa0\xa0', 'time': 1663329086000, 'last_update_time': 1663329087000, 'user_id': '60712fd70000000001004e47', 'nickname': '博乐-乐爸', 'avatar': 'https://sns-avatar-qc.xhscdn.com/avatar/62e72227a31e6e6f8f2dc4b4.jpg', 'ip_location': '', 'image_list': 'https://sns-img-qc.xhscdn.com/ef0b933c-507e-f999-4eab-ff5a8210205e', 'last_modify_ts': 1688479609653}
